municipality_code,municipality_name,comarca_code,comarca_name,reference_period,rfdb_total_eur,rfdb_eur_per_capita,rfdb_index_catalonia_100,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
431188,Pratdip,08,Baix Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431191,Puigpelat,01,Alt Camp,2023,20988000,17288,83.2,21.74,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,21.74,21.74,100,,official,default,true
431205,Querol,01,Alt Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431212,Rasquera,30,Ribera d'Ebre,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431227,Renau,36,Tarragonès,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431233,Reus,08,Baix Camp,2023,1973689000,18065,86.9,30.1592,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.1592,30.1592,100,,official,default,true
431248,la Riba,01,Alt Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431251,Riba-roja d'Ebre,30,Ribera d'Ebre,2023,19764000,17413,83.8,23.0944,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.0944,23.0944,100,,official,default,true
431264,la Riera de Gaià,36,Tarragonès,2023,31481000,17577,84.5,24.8715,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.8715,24.8715,100,,official,default,true
431270,Riudecanyes,08,Baix Camp,2023,23601000,17367,83.5,22.596,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,22.596,22.596,100,,official,default,true
431286,Riudecols,08,Baix Camp,2023,23243000,18913,91,39.3478,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,39.3478,39.3478,100,,official,default,true
