municipality_code,municipality_name,comarca_code,comarca_name,reference_period,touches_coast,distance_to_coast_km,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171241,Pals,10,Baix Empordà,2026-02,true,5.202525,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171254,Pardines,31,Ripollès,2026-02,false,74.970504,22.3262,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,22.3262,22.3262,100,,official,default,true
171267,Parlavà,10,Baix Empordà,2026-02,false,13.497385,76.3419,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,76.3419,76.3419,100,,official,default,true
171289,Pau,02,Alt Empordà,2026-02,false,6.262399,88.2278,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,88.2278,88.2278,100,,official,default,true
171292,Pedret i Marzà,02,Alt Empordà,2026-02,false,8.816472,83.8342,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,83.8342,83.8342,100,,official,default,true
171306,la Pera,10,Baix Empordà,2026-02,false,17.232397,70.847,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,70.847,70.847,100,,official,default,true
171328,Peralada,02,Alt Empordà,2026-02,false,12.345748,78.1207,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,78.1207,78.1207,100,,official,default,true
171334,les Planes d'Hostoles,19,Garrotxa,2026-02,false,46.942168,39.108,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,39.108,39.108,100,,official,default,true
171349,Planoles,31,Ripollès,2026-02,false,83.979664,18.645,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,18.645,18.645,100,,official,default,true
171352,Pont de Molins,02,Alt Empordà,2026-02,false,18.572533,68.9733,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,68.9733,68.9733,100,,official,default,true
171365,Pontós,02,Alt Empordà,2026-02,false,16.050969,72.5409,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,72.5409,72.5409,100,,official,default,true
171371,Porqueres,28,Pla de l'Estany,2026-02,false,27.828546,57.3171,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,57.3171,57.3171,100,,official,default,true
171387,Portbou,02,Alt Empordà,2026-02,true,0.22524,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171390,les Preses,19,Garrotxa,2026-02,false,53.859282,34.0553,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,34.0553,34.0553,100,,official,default,true
171404,el Port de la Selva,02,Alt Empordà,2026-02,true,0.085447,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171411,Puigcerdà,15,Cerdanya,2026-02,false,100.719304,13.3402,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,13.3402,13.3402,100,,official,default,true
171426,Quart,20,Gironès,2026-02,false,23.174724,62.9081,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,62.9081,62.9081,100,,official,default,true
171432,Rabós,02,Alt Empordà,2026-02,false,10.328967,81.3362,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,81.3362,81.3362,100,,official,default,true
