municipality_code,municipality_name,comarca_code,comarca_name,reference_period,hospital_minutes,primary_care_minutes,supermarket_minutes,school_minutes,rail_station_minutes,pharmacy_minutes,hospital_score,primary_care_score,supermarket_score,school_score,rail_station_score,pharmacy_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
250220,Alòs de Balaguer,23,Noguera,2026-08-20,39.41,22.628167,23.148167,22.790833,36.668333,22.747667,37.4533,64.7437,63.7037,64.4183,41.1089,64.5047,52.9297,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,52.9297,52.9297,100,,open_community,osm_cross_border_nearest5_ors,true
250236,Alpicat,33,Segrià,2026-08-20,16.139667,1.341333,2.2975,1.542,14.801833,2.195833,77.7207,100,100,100,80.3963,100,90.5094,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,90.5094,90.5094,100,,open_community,osm_cross_border_nearest5_ors,true
250241,Alt Àneu,26,Pallars Sobirà,2026-08-20,104.1105,7.7865,4.8305,5.519833,75.721,7.467167,0,94.427,100,98.9603,4.7597,95.0657,54.5186,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,54.5186,54.5186,100,,open_community,osm_cross_border_nearest5_ors,true
250254,Naut Aran,39,Val d'Aran,2026-08-20,137.006667,1.508667,17.5365,1.389167,105.231,5.364667,0,100,74.927,100,0,99.2707,49.9125,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,49.9125,49.9125,100,,open_community,osm_cross_border_nearest5_ors,true
250273,Anglesola,38,Urgell,2026-08-20,29.676333,5.965333,0.9735,1.2225,3.165833,1.028833,50.6473,98.0693,100,100,100,100,87.3722,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,87.3722,87.3722,100,,open_community,osm_cross_border_nearest5_ors,true
250292,Arbeca,18,Garrigues,2026-08-20,34.927667,1.294667,1.779667,1.107333,8.943333,0.845333,43.4298,100,100,100,92.1133,100,84.2801,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,84.2801,84.2801,100,,open_community,osm_cross_border_nearest5_ors,true
250306,el Pont de Bar,04,Alt Urgell,2026-08-20,21.359667,13.2675,16.245833,13.214,38.807833,12.8645,67.2807,83.465,77.5083,83.572,38.2562,84.271,69.2771,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,69.2771,69.2771,100,,open_community,osm_cross_border_nearest5_ors,true
250313,Arres,39,Val d'Aran,2026-08-20,123.5665,22.838333,22.275333,16.315333,110.037,22.312,0,64.3233,65.4493,77.3693,0,65.376,37.0129,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,37.0129,37.0129,100,,open_community,osm_cross_border_nearest5_ors,true
250328,Arsèguel,04,Alt Urgell,2026-08-20,20.292667,18.200667,15.178667,12.305833,43.741,17.373667,69.4147,73.5987,79.6427,85.3883,31.6787,75.2527,66.7219,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,66.7219,66.7219,100,,open_community,osm_cross_border_nearest5_ors,true
250334,Artesa de Lleida,33,Segrià,2026-08-20,13.956833,1.023667,0.8885,1.0685,5.054667,0.838333,82.0863,100,100,100,99.8907,100,95.4997,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,95.4997,95.4997,100,,open_community,osm_cross_border_nearest5_ors,true
250349,Artesa de Segre,23,Noguera,2026-08-20,28.331333,0.588333,0.9805,11.712167,34.76,0.5475,53.3373,100,100,86.5757,43.6533,100,75.7226,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,75.7226,75.7226,100,,open_community,osm_cross_border_nearest5_ors,true
250352,la Sentiu de Sió,23,Noguera,2026-08-20,11.214,2.137667,9.073667,2.082833,12.316833,2.176667,87.572,100,91.8527,100,85.3663,100,92.3368,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,92.3368,92.3368,100,,open_community,osm_cross_border_nearest5_ors,true
250365,Aspa,33,Segrià,2026-08-20,22.689167,11.867667,11.7325,11.640667,15.898667,11.682333,64.6217,86.2647,86.535,86.7187,78.2027,86.6353,79.3781,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,79.3781,79.3781,100,,open_community,osm_cross_border_nearest5_ors,true
250371,les Avellanes i Santa Linya,23,Noguera,2026-08-20,24.4955,0.723833,16.2475,0.509667,18.890667,0.770167,61.009,100,77.505,100,72.2187,100,80.197,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,80.197,80.197,100,,open_community,osm_cross_border_nearest5_ors,true
250387,Aitona,33,Segrià,2026-08-20,20.078833,0.641833,0.088833,1.470667,28.087833,0.356333,69.8423,100,100,100,53.8243,100,83.2254,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,83.2254,83.2254,100,,open_community,osm_cross_border_nearest5_ors,true
250390,Baix Pallars,26,Pallars Sobirà,2026-08-20,31.439333,14.967,20.394,15.150667,17.909833,14.309333,48.0809,80.066,69.212,79.6987,74.1803,81.3813,68.8166,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,68.8166,68.8166,100,,open_community,osm_cross_border_nearest5_ors,true
250404,Balaguer,23,Noguera,2026-08-20,5.4505,1.964667,0.766667,1.711667,4.015333,0.673,99.099,100,100,100,100,100,99.7747,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,99.7747,99.7747,100,,open_community,osm_cross_border_nearest5_ors,true
250411,Barbens,27,Pla d'Urgell,2026-08-20,28.8825,5.234167,7.7265,2.0735,9.8255,1.9715,52.235,99.5317,94.547,100,90.349,100,84.9677,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,84.9677,84.9677,100,,open_community,osm_cross_border_nearest5_ors,true
250426,la Baronia de Rialb,23,Noguera,2026-08-20,41.674167,19.744167,19.986167,6.523333,38.795667,4.252333,34.4344,70.5117,70.0277,96.9533,38.2724,100,60.5407,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,60.5407,60.5407,100,,open_community,osm_cross_border_nearest5_ors,true
250432,la Vall de Boí,05,Alta Ribagorça,2026-08-20,78.924333,16.691333,1.319333,17.7725,65.394833,1.242167,3.6919,76.6173,100,74.455,8.2017,100,51.5014,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,51.5014,51.5014,100,,open_community,osm_cross_border_nearest5_ors,true
250447,Bassella,04,Alt Urgell,2026-08-20,52.860167,21.1705,7.587667,7.965333,53.923167,7.4075,19.5198,67.659,94.8247,94.0693,18.1024,95.185,56.5397,70,municipality,openstreetmap_geofabrik;openrouteservice,,2026-08-21T22:01:49Z,0.2.0,,"© OpenStreetMap contributors, ODbL 1.0; nearest five geographic candidates routed.",complete,56.5397,56.5397,100,,open_community,osm_cross_border_nearest5_ors,true
