municipality_code,municipality_name,comarca_code,comarca_name,reference_period,rental_contracts,avg_monthly_rent_eur,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080229,Berga,14,Berguedà,2025,324,459.15,6.5932,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,6.5932,6.5932,100,,official,default,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2025,65,843.32,61.9961,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.9961,61.9961,100,,official,default,true
080240,Borredà,14,Berguedà,2025,18,371.39,0,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
080253,el Bruc,06,Anoia,2025,19,719.25,44.1034,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.1034,44.1034,100,,official,default,true
080266,el Brull,24,Osona,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080272,les Cabanyes,03,Alt Penedès,2025,5,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080288,Cabrera d'Anoia,06,Anoia,2025,3,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080291,Cabrera de Mar,21,Maresme,2025,78,1326.8,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080305,Cabrils,21,Maresme,2025,67,1400.49,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080312,Calaf,06,Anoia,2025,56,474.41,8.7939,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,8.7939,8.7939,100,,official,default,true
080327,Caldes d'Estrac,21,Maresme,2025,41,1130.47,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080333,Caldes de Montbui,41,Vallès Oriental,2025,292,789.72,54.2662,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.2662,54.2662,100,,official,default,true
080348,Calders,42,Moianès,2025,9,673.11,37.4494,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,37.4494,37.4494,100,,official,default,true
080351,Calella,21,Maresme,2025,322,692.35,40.2241,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.2241,40.2241,100,,official,default,true
080364,Calonge de Segarra,06,Anoia,2025,2,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080370,Calldetenes,24,Osona,2025,28,666.94,36.5596,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.5596,36.5596,100,,official,default,true
080386,Callús,07,Bages,2025,33,521.83,15.6326,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,15.6326,15.6326,100,,official,default,true
080399,Campins,41,Vallès Oriental,2025,15,803.33,56.229,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,56.229,56.229,100,,official,default,true
080403,Canet de Mar,21,Maresme,2025,230,761.42,50.185,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,50.185,50.185,100,,official,default,true
080410,Canovelles,41,Vallès Oriental,2025,112,635.08,31.9649,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,31.9649,31.9649,100,,official,default,true
080425,Cànoves i Samalús,41,Vallès Oriental,2025,34,923.29,73.529,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,73.529,73.529,100,,official,default,true
080431,Canyelles,17,Garraf,2025,18,791.4,54.5085,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.5085,54.5085,100,,official,default,true
080446,Capellades,06,Anoia,2025,70,555.99,20.5589,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,20.5589,20.5589,100,,official,default,true
080459,Capolat,14,Berguedà,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080462,Cardedeu,41,Vallès Oriental,2025,297,887.44,68.3589,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,68.3589,68.3589,100,,official,default,true
080478,Cardona,07,Bages,2025,62,397.17,0,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
080484,Carme,06,Anoia,2025,10,567.8,22.2621,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,22.2621,22.2621,100,,official,default,true
080497,Casserres,14,Berguedà,2025,33,533.59,17.3285,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,17.3285,17.3285,100,,official,default,true
080500,Castellar del Riu,14,Berguedà,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080517,Castellar del Vallès,40,Vallès Occidental,2025,187,849.86,62.9393,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.9393,62.9393,100,,official,default,true
080522,Castellar de n'Hug,14,Berguedà,2025,3,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080538,Castellbell i el Vilar,07,Bages,2025,38,611.52,28.5672,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,28.5672,28.5672,100,,official,default,true
080543,Castellbisbal,40,Vallès Occidental,2025,109,816.18,58.0821,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,58.0821,58.0821,100,,official,default,true
080556,Castellcir,42,Moianès,2025,11,838.82,61.3472,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.3472,61.3472,100,,official,default,true
080569,Castelldefels,11,Baix Llobregat,2025,952,1139.01,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080575,Castell de l'Areny,14,Berguedà,2025,2,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080581,Castellet i la Gornal,03,Alt Penedès,2025,15,866.5,65.339,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,65.339,65.339,100,,official,default,true
080594,Castellfollit del Boix,07,Bages,2025,3,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080608,Castellfollit de Riubregós,06,Anoia,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080615,Castellgalí,07,Bages,2025,19,576.52,23.5197,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.5197,23.5197,100,,official,default,true
080620,Castellnou de Bages,07,Bages,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080636,Castellolí,06,Anoia,2025,5,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080641,Castellterçol,42,Moianès,2025,60,623.15,30.2444,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.2444,30.2444,100,,official,default,true
080654,Castellví de la Marca,03,Alt Penedès,2025,14,734,46.2306,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,46.2306,46.2306,100,,official,default,true
080667,Castellví de Rosanes,11,Baix Llobregat,2025,15,909.33,71.5157,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,71.5157,71.5157,100,,official,default,true
080673,Centelles,24,Osona,2025,104,628.75,31.052,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,31.052,31.052,100,,official,default,true
080689,Cervelló,11,Baix Llobregat,2025,64,941.43,76.145,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,76.145,76.145,100,,official,default,true
080692,Collbató,11,Baix Llobregat,2025,30,1056.41,92.7268,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,92.7268,92.7268,100,,official,default,true
080706,Collsuspina,42,Moianès,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080713,Copons,06,Anoia,2025,4,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080728,Corbera de Llobregat,11,Baix Llobregat,2025,134,837.78,61.1972,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.1972,61.1972,100,,official,default,true
080734,Cornellà de Llobregat,11,Baix Llobregat,2025,1105,792.74,54.7018,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.7018,54.7018,100,,official,default,true
080749,Cubelles,17,Garraf,2025,348,681.84,38.7084,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,38.7084,38.7084,100,,official,default,true
080752,Dosrius,21,Maresme,2025,49,1006.69,85.5565,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,85.5565,85.5565,100,,official,default,true
080765,Esparreguera,11,Baix Llobregat,2025,246,723.53,44.7207,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.7207,44.7207,100,,official,default,true
080771,Esplugues de Llobregat,11,Baix Llobregat,2025,614,1390.25,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080787,l'Espunyola,14,Berguedà,2025,4,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080790,l'Estany,42,Moianès,2025,4,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080804,Fígols,14,Berguedà,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080811,Fogars de Montclús,41,Vallès Oriental,2025,8,771.88,51.6934,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.6934,51.6934,100,,official,default,true
080826,Fogars de la Selva,34,Selva,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080832,Folgueroles,24,Osona,2025,42,651.27,34.2997,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,34.2997,34.2997,100,,official,default,true
080847,Fonollosa,07,Bages,2025,5,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080850,Font-rubí,03,Alt Penedès,2025,7,616.04,29.219,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.219,29.219,100,,official,default,true
080863,les Franqueses del Vallès,41,Vallès Oriental,2025,240,714.22,43.378,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,43.378,43.378,100,,official,default,true
080879,Gallifa,40,Vallès Occidental,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080885,la Garriga,41,Vallès Oriental,2025,319,870.02,65.8467,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,65.8467,65.8467,100,,official,default,true
080898,Gavà,11,Baix Llobregat,2025,458,1087.61,97.2263,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,97.2263,97.2263,100,,official,default,true
080902,Gaià,07,Bages,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080919,Gelida,03,Alt Penedès,2025,129,665.61,36.3678,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.3678,36.3678,100,,official,default,true
080924,Gironella,14,Berguedà,2025,116,440.54,3.9094,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,3.9094,3.9094,100,,official,default,true
080930,Gisclareny,14,Berguedà,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080945,la Granada,03,Alt Penedès,2025,19,719.86,44.1914,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.1914,44.1914,100,,official,default,true
080958,Granera,42,Moianès,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080961,Granollers,41,Vallès Oriental,2025,902,787.85,53.9965,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.9965,53.9965,100,,official,default,true
080977,Gualba,41,Vallès Oriental,2025,19,766.84,50.9666,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,50.9666,50.9666,100,,official,default,true
080983,Sant Salvador de Guardiola,07,Bages,2025,5,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
080996,Guardiola de Berguedà,14,Berguedà,2025,16,438.44,3.6065,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,3.6065,3.6065,100,,official,default,true
081000,Gurb,24,Osona,2025,13,888.08,68.4512,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,68.4512,68.4512,100,,official,default,true
081017,l'Hospitalet de Llobregat,13,Barcelonès,2025,3351,839.91,61.5044,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.5044,61.5044,100,,official,default,true
081022,Igualada,06,Anoia,2025,638,572,22.8678,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,22.8678,22.8678,100,,official,default,true
081038,Jorba,06,Anoia,2025,7,863.57,64.9165,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,64.9165,64.9165,100,,official,default,true
081043,la Llacuna,06,Anoia,2025,31,531.08,16.9666,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,16.9666,16.9666,100,,official,default,true
081056,la Llagosta,41,Vallès Oriental,2025,123,701.68,41.5696,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.5696,41.5696,100,,official,default,true
081069,Llinars del Vallès,41,Vallès Oriental,2025,161,789.19,54.1898,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.1898,54.1898,100,,official,default,true
081075,Lliçà d'Amunt,41,Vallès Oriental,2025,65,841.66,61.7567,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.7567,61.7567,100,,official,default,true
081081,Lliçà de Vall,41,Vallès Oriental,2025,31,998.6,84.3898,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,84.3898,84.3898,100,,official,default,true
081094,Lluçà,43,Lluçanès,2025,3,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
081108,Malgrat de Mar,21,Maresme,2025,197,663.79,36.1053,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.1053,36.1053,100,,official,default,true
081115,Malla,24,Osona,2025,2,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
081120,Manlleu,24,Osona,2025,207,515.37,14.7009,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,14.7009,14.7009,100,,official,default,true
081136,Manresa,07,Bages,2025,1468,584.65,24.6921,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.6921,24.6921,100,,official,default,true
081141,Martorell,11,Baix Llobregat,2025,316,786.91,53.861,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.861,53.861,100,,official,default,true
081154,Martorelles,41,Vallès Oriental,2025,48,796.74,55.2786,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,55.2786,55.2786,100,,official,default,true
081167,les Masies de Roda,24,Osona,2025,2,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
081173,les Masies de Voltregà,24,Osona,2025,26,637.59,32.3269,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,32.3269,32.3269,100,,official,default,true
081189,el Masnou,21,Maresme,2025,364,1036.7,89.8844,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,89.8844,89.8844,100,,official,default,true
081192,Masquefa,06,Anoia,2025,70,687.03,39.4568,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,39.4568,39.4568,100,,official,default,true
081206,Matadepera,40,Vallès Occidental,2025,82,1423.82,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
081213,Mataró,21,Maresme,2025,1945,772.46,51.7771,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.7771,51.7771,100,,official,default,true
081228,Mediona,03,Alt Penedès,2025,25,602.4,27.2519,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,27.2519,27.2519,100,,official,default,true
081234,Molins de Rei,11,Baix Llobregat,2025,312,882.98,67.7157,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,67.7157,67.7157,100,,official,default,true
081249,Mollet del Vallès,41,Vallès Oriental,2025,550,750.66,48.6332,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,48.6332,48.6332,100,,official,default,true
081252,Montcada i Reixac,40,Vallès Occidental,2025,313,730.87,45.7792,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,45.7792,45.7792,100,,official,default,true
081265,Montgat,21,Maresme,2025,127,1129.51,100,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
081271,Monistrol de Montserrat,07,Bages,2025,39,552.05,19.9907,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,19.9907,19.9907,100,,official,default,true
081287,Monistrol de Calders,42,Moianès,2025,16,475.84,9.0001,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,9.0001,9.0001,100,,official,default,true
081290,Muntanyola,24,Osona,2025,2,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
081304,Montclar,14,Berguedà,2025,,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081311,Montesquiu,24,Osona,2025,17,468.05,7.8767,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,7.8767,7.8767,100,,official,default,true
081326,Montmajor,14,Berguedà,2025,5,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
081332,Montmaneu,06,Anoia,2025,1,,,0,missing,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,suppressed,,engineering_pending,0,100,0,,official,default,false
081347,Figaró-Montmany,41,Vallès Oriental,2025,19,851.96,63.2421,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,63.2421,63.2421,100,,official,default,true
081350,Montmeló,41,Vallès Oriental,2025,79,728.31,45.41,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,45.41,45.41,100,,official,default,true
081363,Montornès del Vallès,41,Vallès Oriental,2025,127,702.88,41.7426,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.7426,41.7426,100,,official,default,true
081379,Montseny,41,Vallès Oriental,2025,10,713,43.2021,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,43.2021,43.2021,100,,official,default,true
081385,Moià,42,Moianès,2025,104,547.85,19.385,100,municipality,gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,19.385,19.385,100,,official,default,true
