municipality_code,municipality_name,comarca_code,comarca_name,reference_period,avg_monthly_rent_eur,avg_sale_price_eur,gross_yield_proxy_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
081555,Palafolls,21,Maresme,2025,617.45,218800.28,3.386376,13.0302,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,13.0302,13.0302,100,,official,default,true
081568,Palau-solità i Plegamans,40,Vallès Occidental,2025,864.87,295270.48,3.514893,16.3471,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,16.3471,16.3471,100,,official,default,true
081574,Pallejà,11,Baix Llobregat,2025,925.44,287568.02,3.861792,25.3004,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,25.3004,25.3004,100,,official,default,true
081580,el Papiol,11,Baix Llobregat,2025,937.79,222474,5.058335,56.1824,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,56.1824,56.1824,100,,official,default,true
081593,Parets del Vallès,41,Vallès Oriental,2025,829.13,237190.36,4.194757,33.894,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.894,33.894,100,,official,default,true
081607,Perafita,43,Lluçanès,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081614,Piera,06,Anoia,2025,666.36,193383.2,4.134961,32.3507,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,32.3507,32.3507,100,,official,default,true
081629,els Hostalets de Pierola,06,Anoia,2025,743.14,168362.19,5.296724,62.335,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.335,62.335,100,,official,default,true
081635,Pineda de Mar,21,Maresme,2025,673.65,183386.52,4.408067,39.3994,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,39.3994,39.3994,100,,official,default,true
081640,el Pla del Penedès,03,Alt Penedès,2025,654.84,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
