municipality_code,municipality_name,comarca_code,comarca_name,reference_period,nearest_station,nearest_station_minutes,nearest_station_km,best_station,best_station_minutes,best_station_skiable_km,second_station,second_station_minutes,third_station,third_station_minutes,ski_raw,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
170643,Espolla,02,Alt Empordà,2026-08-21,Vallter,127.549,116.8,Vallter,127.549,13.58,Vall de Núria,147.593667,La Molina,153.273667,0.181489,14.6148,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,14.6148,14.6148,100,,curated,access_variety_no_tier,true
170656,Esponellà,28,Pla de l'Estany,2026-08-21,Vallter,100.4575,82.32,Vallter,100.4575,13.58,Vall de Núria,120.502333,La Molina,126.182167,0.285066,28.663,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,28.663,28.663,100,,curated,access_variety_no_tier,true
170669,Figueres,02,Alt Empordà,2026-08-21,Vallter,112.281833,94.59,Vallter,112.281833,13.58,Vall de Núria,132.3265,La Molina,138.0065,0.234077,21.7473,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,21.7473,21.7473,100,,curated,access_variety_no_tier,true
170675,Flaçà,20,Gironès,2026-08-21,Vallter,125.205667,107.35,Vallter,125.205667,13.58,Vall de Núria,140.701833,La Molina,146.381667,0.193807,16.2855,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,16.2855,16.2855,100,,curated,access_variety_no_tier,true
170681,Foixà,10,Baix Empordà,2026-08-21,Vallter,131.6455,112.67,Vallter,131.6455,13.58,Vall de Núria,147.141833,La Molina,152.821667,0.174083,13.6103,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,13.6103,13.6103,100,,curated,access_variety_no_tier,true
170694,Fontanals de Cerdanya,15,Cerdanya,2026-08-21,Masella,15.4495,9.93,Masella,15.4495,74,La Molina,16.581333,Vall de Núria,84.259167,1.213643,100,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,100,100,100,,curated,access_variety_no_tier,true
170708,Fontanilles,10,Baix Empordà,2026-08-21,Vallter,147.2045,123.67,Vallter,147.2045,13.58,Vall de Núria,162.700667,La Molina,168.380667,0.134319,8.217,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,8.217,8.217,100,,curated,access_variety_no_tier,true
170715,Fontcoberta,28,Pla de l'Estany,2026-08-21,Vallter,102.388667,84.63,Vallter,102.388667,13.58,Vall de Núria,122.433333,La Molina,128.113167,0.276037,27.4384,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,27.4384,27.4384,100,,curated,access_variety_no_tier,true
170736,Fornells de la Selva,20,Gironès,2026-08-21,Vall de Núria,122.445667,117.44,Vall de Núria,122.445667,7.614,Vallter,125.091,La Molina,128.1255,0.221641,20.0607,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,20.0607,20.0607,100,,curated,access_variety_no_tier,true
170741,Fortià,02,Alt Empordà,2026-08-21,Vallter,117.009333,101.91,Vallter,117.009333,13.58,Vall de Núria,137.054,La Molina,142.733833,0.216341,19.3418,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,19.3418,19.3418,100,,curated,access_variety_no_tier,true
170754,Garrigàs,02,Alt Empordà,2026-08-21,Vallter,109.476,94.51,Vallter,109.476,13.58,Vall de Núria,129.520667,La Molina,135.200667,0.245283,23.2672,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,23.2672,23.2672,100,,curated,access_variety_no_tier,true
170767,Garrigoles,10,Baix Empordà,2026-08-21,Vallter,127.216667,118.39,Vallter,127.216667,13.58,Vall de Núria,143.660167,La Molina,149.34,0.186363,15.2759,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,15.2759,15.2759,100,,curated,access_variety_no_tier,true
170773,Garriguella,02,Alt Empordà,2026-08-21,Vallter,127.794333,113.73,Vallter,127.794333,13.58,Vall de Núria,147.839,La Molina,153.519,0.180748,14.5143,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,14.5143,14.5143,100,,curated,access_variety_no_tier,true
170789,Ger,15,Cerdanya,2026-08-21,Masella,25.42,21.69,Masella,25.42,74,La Molina,30.0615,Vall de Núria,98.287333,1.006183,100,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,100,100,100,,curated,access_variety_no_tier,true
170792,Girona,20,Gironès,2026-08-21,Vallter,122.539833,102.94,Vallter,122.539833,13.58,Vall de Núria,128.8455,La Molina,134.525333,0.214677,19.1161,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,19.1161,19.1161,100,,curated,access_variety_no_tier,true
170806,Gombrèn,31,Ripollès,2026-08-21,La Molina,44.239167,30.52,La Molina,44.239167,70.644,Masella,52.256333,Vall de Núria,54.608333,0.788291,96.9161,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,96.9161,96.9161,100,,curated,access_variety_no_tier,true
170813,Gualta,10,Baix Empordà,2026-08-21,Vallter,141.359833,121.14,Vallter,141.359833,13.58,Vall de Núria,156.856,La Molina,162.535833,0.148062,10.081,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,10.081,10.081,100,,curated,access_variety_no_tier,true
170828,Guils de Cerdanya,15,Cerdanya,2026-08-21,Masella,29.317667,20.85,Masella,29.317667,74,La Molina,30.612833,Vall de Núria,97.746333,0.962677,100,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,100,100,100,,curated,access_variety_no_tier,true
170834,Hostalric,34,Selva,2026-08-21,Vall de Núria,118.926,103.09,Vall de Núria,118.926,7.614,La Molina,124.605833,Masella,129.732,0.229215,21.0879,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,21.0879,21.0879,100,,curated,access_variety_no_tier,true
170849,Isòvol,15,Cerdanya,2026-08-21,Masella,23.815167,19.82,Masella,23.815167,74,La Molina,30.085333,Vall de Núria,99.533667,1.02281,100,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,100,100,100,,curated,access_variety_no_tier,true
170852,Jafre,10,Baix Empordà,2026-08-21,Vallter,125.14,110.54,Vallter,125.14,13.58,Vall de Núria,143.707333,La Molina,149.387333,0.190537,15.8419,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,15.8419,15.8419,100,,curated,access_variety_no_tier,true
170865,la Jonquera,02,Alt Empordà,2026-08-21,Vallter,124.2525,119.01,Vallter,124.2525,13.58,Vall de Núria,144.297167,La Molina,149.977167,0.191739,16.005,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,16.005,16.005,100,,curated,access_variety_no_tier,true
