municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population,sales_count,sales_per_1000,rental_contracts,rental_contracts_per_1000,sale_liquidity_score,rental_liquidity_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
082994,Vilada,14,Berguedà,2025 (2025S1),430,,,4,9.302326,,33.9825,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
083008,Viladecavalls,40,Vallès Occidental,2025 (2025S1),7816,80,10.235415,41,5.24565,27.2999,12.6718,21.4487,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,21.4487,21.4487,100,,official,default,true
083015,Viladecans,11,Baix Llobregat,2025 (2025S1),67536,734,10.868278,548,8.114191,30.4731,27.741,29.3803,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.3803,29.3803,100,,official,default,true
083020,Vilanova del Camí,06,Anoia,2025 (2025S1),12886,113,8.769207,107,8.303585,19.9482,28.7359,23.4633,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.4633,23.4633,100,,official,default,true
083036,Vilanova de Sau,24,Osona,2025 (2025S1),325,,,4,12.307692,,49.7704,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
083041,Vilobí del Penedès,03,Alt Penedès,2025 (2025S1),1157,,,7,6.05013,,16.8979,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
083054,Vilafranca del Penedès,03,Alt Penedès,2025 (2025S1),42561,370,8.693405,656,15.413172,19.5681,66.0843,38.1746,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,38.1746,38.1746,100,,official,default,true
083067,Vilalba Sasserra,41,Vallès Oriental,2025 (2025S1),790,,,15,18.987342,,84.8603,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
083073,Vilanova i la Geltrú,17,Garraf,2025 (2025S1),71305,890,12.481593,923,12.944394,38.5624,53.1152,44.3835,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.3835,44.3835,100,,official,default,true
083089,Viver i Serrateix,14,Berguedà,2025 (2025S1),178,,,,,,,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
089019,Rupit i Pruit,24,Osona,2025 (2025S1),277,,,3,10.830325,,42.0095,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
089024,Vilanova del Vallès,41,Vallès Oriental,2025 (2025S1),5697,45,7.898894,38,6.670177,15.5843,20.1552,17.4127,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,17.4127,17.4127,100,,official,default,true
089030,Sant Julià de Cerdanyola,14,Berguedà,2025 (2025S1),234,,,,,,,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
089045,Badia del Vallès,40,Vallès Occidental,2025 (2025S1),13058,75,5.743605,47,3.599326,4.7775,4.0233,4.4758,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,4.4758,4.4758,100,,official,default,true
089058,la Palma de Cervelló,11,Baix Llobregat,2025 (2025S1),3059,,,48,15.691402,,67.5459,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170010,Agullana,02,Alt Empordà,2025 (2025S1),881,,,17,19.296254,,86.4831,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170025,Aiguaviva,20,Gironès,2025 (2025S1),805,,,3,3.726708,,4.6924,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170031,Albanyà,02,Alt Empordà,2025 (2025S1),158,,,,,,,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170046,Albons,10,Baix Empordà,2025 (2025S1),852,,,9,10.56338,,40.6071,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170059,el Far d'Empordà,02,Alt Empordà,2025 (2025S1),624,,,1,1.602564,,0,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170062,Alp,15,Cerdanya,2025 (2025S1),1724,,,26,15.081206,,64.3404,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170078,Amer,34,Selva,2025 (2025S1),2419,10,4.13394,35,14.468789,0,61.1232,24.4493,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,24.4493,24.4493,100,,official,default,true
170084,Anglès,34,Selva,2025 (2025S1),5904,53,8.976965,75,12.703252,20.9899,51.8484,33.3333,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.3333,33.3333,100,,official,default,true
170097,Arbúcies,34,Selva,2025 (2025S1),6635,81,12.207988,137,20.648078,37.1906,93.5845,59.7482,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,59.7482,59.7482,100,,official,default,true
170101,Argelaguer,19,Garrotxa,2025 (2025S1),467,,,7,14.989293,,63.8575,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170118,l'Armentera,02,Alt Empordà,2025 (2025S1),1076,,,17,15.799257,,68.1125,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170123,Avinyonet de Puigventós,02,Alt Empordà,2025 (2025S1),1669,,,9,5.392451,,13.443,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170139,Begur,10,Baix Empordà,2025 (2025S1),4286,134,31.264582,19,4.433038,100,8.403,63.3612,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,63.3612,63.3612,100,,official,default,true
170144,la Vajol,02,Alt Empordà,2025 (2025S1),110,,,1,9.090909,,32.8719,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170157,Banyoles,28,Pla de l'Estany,2025 (2025S1),20887,151,7.229377,316,15.129028,12.2273,64.5916,33.173,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.173,33.173,100,,official,default,true
170160,Bàscara,02,Alt Empordà,2025 (2025S1),1048,,,14,13.358779,,55.2921,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170182,Bellcaire d'Empordà,10,Baix Empordà,2025 (2025S1),722,,,11,15.235457,,65.1507,,0,missing,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
170195,Besalú,19,Garrotxa,2025 (2025S1),2591,14,5.403319,25,9.648784,3.0712,35.8025,16.1637,90,municipality,idescat_ep;gencat_housing_sales_2025;gencat_incasol_qww9-bvhh,,2026-08-21T21:48:17Z,0.2.0,,,complete,16.1637,16.1637,100,,official,default,true
