municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population_current,population_1y_ago,population_5y_ago,population_change_5y,growth_1y_pct,cagr_5y_pct,trend_score,scale_adjusted_growth_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
251235,Lladorre,26,Pallars Sobirà,2025,246,254,237,9,-3.149606,0.748213,45.0324,51.8051,47.0642,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.0642,47.0642,100,,official,annual_trend_scale_adjusted,true
251240,Lladurs,35,Solsonès,2025,186,185,180,6,0.540541,0.657952,42.9,48.3176,44.5253,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.5253,44.5253,100,,official,annual_trend_scale_adjusted,true
251253,Llardecans,33,Segrià,2025,444,428,444,0,3.738318,0,27.3561,29.2912,27.9366,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,27.9366,27.9366,100,,official,annual_trend_scale_adjusted,true
251266,Llavorsí,26,Pallars Sobirà,2025,342,336,346,-4,1.785714,-0.232291,21.8683,13.5547,19.3742,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,19.3742,19.3742,100,,official,annual_trend_scale_adjusted,true
251272,Lles de Cerdanya,15,Cerdanya,2025,290,285,270,20,1.754386,1.439441,61.3625,59.0595,60.6716,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,60.6716,60.6716,100,,official,annual_trend_scale_adjusted,true
251288,Llimiana,25,Pallars Jussà,2025,130,131,146,-16,-0.763359,-2.294705,0,1.5891,0.4767,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,0.4767,0.4767,100,,official,annual_trend_scale_adjusted,true
251291,Llobera,35,Solsonès,2025,201,209,188,13,-3.827751,1.34624,59.1607,55.095,57.941,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.941,57.941,100,,official,annual_trend_scale_adjusted,true
251305,Maldà,38,Urgell,2025,239,236,227,12,1.271186,1.035596,51.8218,54.3704,52.5864,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.5864,52.5864,100,,official,annual_trend_scale_adjusted,true
251312,Massalcoreig,33,Segrià,2025,592,584,610,-18,1.369863,-0.597256,13.2461,0.5015,9.4227,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,9.4227,9.4227,100,,official,annual_trend_scale_adjusted,true
251327,Massoteres,32,Segarra,2025,227,216,212,15,5.092593,1.376665,59.8794,56.4006,58.8358,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,58.8358,58.8358,100,,official,annual_trend_scale_adjusted,true
251333,Maials,33,Segrià,2025,951,921,909,42,3.257329,0.907472,48.7949,66.0669,53.9765,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.9765,53.9765,100,,official,annual_trend_scale_adjusted,true
251348,Menàrguens,23,Noguera,2025,798,789,813,-15,1.140684,-0.371758,18.5734,2.1818,13.6559,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,13.6559,13.6559,100,,official,annual_trend_scale_adjusted,true
251351,Miralcamp,27,Pla d'Urgell,2025,1369,1390,1385,-16,-1.510791,-0.232122,21.8723,1.5891,15.7873,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,15.7873,15.7873,100,,official,annual_trend_scale_adjusted,true
251364,la Molsosa,35,Solsonès,2025,100,103,104,-4,-2.912621,-0.781346,8.897,13.5547,10.2943,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,10.2943,10.2943,100,,official,annual_trend_scale_adjusted,true
251370,Mollerussa,27,Pla d'Urgell,2025,15763,15544,14649,1114,1.408904,1.476663,62.2419,97.8971,72.9385,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,72.9385,72.9385,100,,official,annual_trend_scale_adjusted,true
251386,Montgai,23,Noguera,2025,640,637,643,-3,0.470958,-0.093487,25.1475,15.7365,22.3242,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,22.3242,22.3242,100,,official,annual_trend_scale_adjusted,true
251399,Montellà i Martinet,15,Cerdanya,2025,598,620,578,20,-3.548387,0.682657,43.4837,59.0595,48.1564,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,48.1564,48.1564,100,,official,annual_trend_scale_adjusted,true
251403,Montferrer i Castellbò,04,Alt Urgell,2025,1161,1164,1034,127,-0.257732,2.343988,82.7322,76.7326,80.9323,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,80.9323,80.9323,100,,official,annual_trend_scale_adjusted,true
