municipality_code,municipality_name,comarca_code,comarca_name,reference_period,sales_count,avg_surface_m2,avg_sale_price_eur,sale_price_eur_m2,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080155,Badalona,13,Barcelonès,2025,1994,71.99,201984.78,2760.89,71.4214,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,71.4214,71.4214,100,,official,default,true
080168,Bagà,14,Berguedà,2025,36,66.85,136599.21,2138.75,47.981,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.981,47.981,100,,official,default,true
080174,Balenyà,24,Osona,2025,38,75.3,166840.54,2302.04,54.1333,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.1333,54.1333,100,,official,default,true
080180,Balsareny,07,Bages,2025,31,90.86,132070.88,1497.2,23.8092,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.8092,23.8092,100,,official,default,true
080193,Barcelona,13,Barcelonès,2025,14515,79.31,394980.7,4748.1,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080207,Begues,11,Baix Llobregat,2025,70,154.8,403032.59,2913.91,77.1867,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,77.1867,77.1867,100,,official,default,true
080214,Bellprat,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080229,Berga,14,Berguedà,2025,178,87.14,100578.22,1219.13,13.3324,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,13.3324,13.3324,100,,official,default,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2025,112,185.75,292306.94,1776.28,34.3241,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,34.3241,34.3241,100,,official,default,true
080240,Borredà,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080253,el Bruc,06,Anoia,2025,23,123.27,215401.2,1840.79,36.7547,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.7547,36.7547,100,,official,default,true
080266,el Brull,24,Osona,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080272,les Cabanyes,03,Alt Penedès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080288,Cabrera d'Anoia,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080291,Cabrera de Mar,21,Maresme,2025,30,158.38,545462.57,3778.91,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080305,Cabrils,21,Maresme,2025,73,233.95,586072.19,2891.94,76.359,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,76.359,76.359,100,,official,default,true
080312,Calaf,06,Anoia,2025,65,94.86,90479.59,984.8,4.5035,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,4.5035,4.5035,100,,official,default,true
080327,Caldes d'Estrac,21,Maresme,2025,64,124.92,368586.37,3207.14,88.2348,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,88.2348,88.2348,100,,official,default,true
080333,Caldes de Montbui,41,Vallès Oriental,2025,132,146.38,277132.23,2242.91,51.9054,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.9054,51.9054,100,,official,default,true
080348,Calders,42,Moianès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080351,Calella,21,Maresme,2025,256,77.77,177121.97,2418.87,58.5351,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,58.5351,58.5351,100,,official,default,true
080364,Calonge de Segarra,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080370,Calldetenes,24,Osona,2025,9,74,199667.11,3046.39,82.1782,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,82.1782,82.1782,100,,official,default,true
080386,Callús,07,Bages,2025,13,86.2,98597.42,1230.08,13.7449,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,13.7449,13.7449,100,,official,default,true
080399,Campins,41,Vallès Oriental,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080403,Canet de Mar,21,Maresme,2025,151,95.55,218495.47,2364.88,56.5009,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,56.5009,56.5009,100,,official,default,true
080410,Canovelles,41,Vallès Oriental,2025,171,100.9,167984.79,1732.37,32.6697,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,32.6697,32.6697,100,,official,default,true
080425,Cànoves i Samalús,41,Vallès Oriental,2025,38,164.58,323689.47,2306.78,54.3118,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.3118,54.3118,100,,official,default,true
080431,Canyelles,17,Garraf,2025,67,154.66,242482.41,1760.75,33.739,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.739,33.739,100,,official,default,true
080446,Capellades,06,Anoia,2025,61,90.34,98049.45,1149.29,10.701,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,10.701,10.701,100,,official,default,true
080459,Capolat,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080462,Cardedeu,41,Vallès Oriental,2025,182,104.22,276515.52,2787.01,72.4055,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,72.4055,72.4055,100,,official,default,true
080478,Cardona,07,Bages,2025,37,101.37,82225.91,838.03,0,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
080484,Carme,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080497,Casserres,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080500,Castellar del Riu,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080517,Castellar del Vallès,40,Vallès Occidental,2025,279,136.74,263356.66,2267.16,52.8191,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.8191,52.8191,100,,official,default,true
080522,Castellar de n'Hug,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080538,Castellbell i el Vilar,07,Bages,2025,54,97.65,135275.53,1484.43,23.3281,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.3281,23.3281,100,,official,default,true
080543,Castellbisbal,40,Vallès Occidental,2025,133,130.56,267417.46,2297.08,53.9464,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.9464,53.9464,100,,official,default,true
080556,Castellcir,42,Moianès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080569,Castelldefels,11,Baix Llobregat,2025,672,93.35,409181.68,4665.37,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080575,Castell de l'Areny,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080581,Castellet i la Gornal,03,Alt Penedès,2025,16,156.63,173706.31,1268.56,15.1947,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,15.1947,15.1947,100,,official,default,true
080594,Castellfollit del Boix,07,Bages,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080608,Castellfollit de Riubregós,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080615,Castellgalí,07,Bages,2025,25,105.42,177893.98,1813.38,35.722,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,35.722,35.722,100,,official,default,true
080620,Castellnou de Bages,07,Bages,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080636,Castellolí,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080641,Castellterçol,42,Moianès,2025,28,131.58,207917.58,1748.36,33.2722,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.2722,33.2722,100,,official,default,true
080654,Castellví de la Marca,03,Alt Penedès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080667,Castellví de Rosanes,11,Baix Llobregat,2025,16,203.31,318687.5,1674.35,30.4837,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,30.4837,30.4837,100,,official,default,true
080673,Centelles,24,Osona,2025,55,87.65,184310.58,2125.19,47.4701,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,47.4701,47.4701,100,,official,default,true
080689,Cervelló,11,Baix Llobregat,2025,150,169.49,323901.15,2166.92,49.0423,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,49.0423,49.0423,100,,official,default,true
080692,Collbató,11,Baix Llobregat,2025,47,178.85,353962.5,2168.62,49.1064,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,49.1064,49.1064,100,,official,default,true
080706,Collsuspina,42,Moianès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080713,Copons,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080728,Corbera de Llobregat,11,Baix Llobregat,2025,176,155.64,271175.6,2052.96,44.7486,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.7486,44.7486,100,,official,default,true
080734,Cornellà de Llobregat,11,Baix Llobregat,2025,808,65.61,196002.13,2994.24,80.2133,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,80.2133,80.2133,100,,official,default,true
080749,Cubelles,17,Garraf,2025,314,97.16,235723.28,2676.13,68.2279,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,68.2279,68.2279,100,,official,default,true
080752,Dosrius,21,Maresme,2025,80,167.7,296360.22,2259.78,52.541,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.541,52.541,100,,official,default,true
080765,Esparreguera,11,Baix Llobregat,2025,380,99.61,199007.26,2291.04,53.7188,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.7188,53.7188,100,,official,default,true
080771,Esplugues de Llobregat,11,Baix Llobregat,2025,363,82.9,326187.92,3817.4,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080787,l'Espunyola,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080790,l'Estany,42,Moianès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080804,Fígols,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080811,Fogars de Montclús,41,Vallès Oriental,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080826,Fogars de la Selva,34,Selva,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080832,Folgueroles,24,Osona,2025,5,66,220250.5,3313.41,92.2387,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,92.2387,92.2387,100,,official,default,true
080847,Fonollosa,07,Bages,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080850,Font-rubí,03,Alt Penedès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080863,les Franqueses del Vallès,41,Vallès Oriental,2025,189,91.07,218533.13,2608.74,65.6888,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,65.6888,65.6888,100,,official,default,true
080879,Gallifa,40,Vallès Occidental,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080885,la Garriga,41,Vallès Oriental,2025,112,109.86,263718.35,2640.65,66.8911,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,66.8911,66.8911,100,,official,default,true
080898,Gavà,11,Baix Llobregat,2025,385,89.44,363041.42,3991.4,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
080902,Gaià,07,Bages,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080919,Gelida,03,Alt Penedès,2025,75,109.61,194440.94,1958.39,41.1855,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.1855,41.1855,100,,official,default,true
080924,Gironella,14,Berguedà,2025,68,100.95,86661.57,915.05,1.8755,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,1.8755,1.8755,100,,official,default,true
080930,Gisclareny,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080945,la Granada,03,Alt Penedès,2025,13,107.92,185272.73,1830.76,36.3768,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,36.3768,36.3768,100,,official,default,true
080958,Granera,42,Moianès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080961,Granollers,41,Vallès Oriental,2025,620,81.4,195793.82,2483.99,60.9886,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,60.9886,60.9886,100,,official,default,true
080977,Gualba,41,Vallès Oriental,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
080983,Sant Salvador de Guardiola,07,Bages,2025,45,122.14,213678.96,2045.43,44.4649,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,44.4649,44.4649,100,,official,default,true
080996,Guardiola de Berguedà,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081000,Gurb,24,Osona,2025,8,155,523132.17,3783.59,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
081017,l'Hospitalet de Llobregat,13,Barcelonès,2025,2701,59.99,175617.04,2948.98,78.5081,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,78.5081,78.5081,100,,official,default,true
081022,Igualada,06,Anoia,2025,428,99.43,150351.95,1606.92,27.9432,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,27.9432,27.9432,100,,official,default,true
081038,Jorba,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081043,la Llacuna,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081056,la Llagosta,41,Vallès Oriental,2025,120,81.73,171438.69,2293.37,53.8066,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.8066,53.8066,100,,official,default,true
081069,Llinars del Vallès,41,Vallès Oriental,2025,121,139.16,266729.4,2245.13,51.989,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.989,51.989,100,,official,default,true
081075,Lliçà d'Amunt,41,Vallès Oriental,2025,160,181.07,294118.14,1793.94,34.9895,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,34.9895,34.9895,100,,official,default,true
081081,Lliçà de Vall,41,Vallès Oriental,2025,48,173.87,307373.67,2074.01,45.5417,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,45.5417,45.5417,100,,official,default,true
081094,Lluçà,43,Lluçanès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081108,Malgrat de Mar,21,Maresme,2025,249,92.45,191288.49,2300.85,54.0884,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.0884,54.0884,100,,official,default,true
081115,Malla,24,Osona,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081120,Manlleu,24,Osona,2025,246,115.44,115660.7,1103.41,8.9724,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,8.9724,8.9724,100,,official,default,true
081136,Manresa,07,Bages,2025,1086,84.48,119327.34,1475.81,23.0033,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.0033,23.0033,100,,official,default,true
081141,Martorell,11,Baix Llobregat,2025,254,86.66,174430.08,2100.64,46.5451,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,46.5451,46.5451,100,,official,default,true
081154,Martorelles,41,Vallès Oriental,2025,40,92.43,195828.57,2241.99,51.8707,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.8707,51.8707,100,,official,default,true
081167,les Masies de Roda,24,Osona,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081173,les Masies de Voltregà,24,Osona,2025,27,159.61,180939.13,1301.67,16.4422,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,16.4422,16.4422,100,,official,default,true
081189,el Masnou,21,Maresme,2025,221,110.15,384051.88,3798.96,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
081192,Masquefa,06,Anoia,2025,115,125.82,200114.82,1935.29,40.3152,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.3152,40.3152,100,,official,default,true
081206,Matadepera,40,Vallès Occidental,2025,65,240.06,568497.73,2733.32,70.3826,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,70.3826,70.3826,100,,official,default,true
081213,Mataró,21,Maresme,2025,1457,81.12,195289.11,2540.29,63.1098,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,63.1098,63.1098,100,,official,default,true
081228,Mediona,03,Alt Penedès,2025,62,133.64,148715.36,1354.31,18.4255,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,18.4255,18.4255,100,,official,default,true
081234,Molins de Rei,11,Baix Llobregat,2025,182,83.74,273401.81,3359.99,93.9937,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,93.9937,93.9937,100,,official,default,true
081249,Mollet del Vallès,41,Vallès Oriental,2025,576,82.58,185275.65,2386.27,57.3068,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,57.3068,57.3068,100,,official,default,true
081252,Montcada i Reixac,40,Vallès Occidental,2025,293,81.95,178334.33,2231.98,51.4936,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.4936,51.4936,100,,official,default,true
081265,Montgat,21,Maresme,2025,123,97.11,347115.18,3639.54,100,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,100,100,100,,official,default,true
081271,Monistrol de Montserrat,07,Bages,2025,57,75.38,105617.47,1482.28,23.2471,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,23.2471,23.2471,100,,official,default,true
081287,Monistrol de Calders,42,Moianès,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081290,Muntanyola,24,Osona,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081304,Montclar,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081311,Montesquiu,24,Osona,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081326,Montmajor,14,Berguedà,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081332,Montmaneu,06,Anoia,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081347,Figaró-Montmany,41,Vallès Oriental,2025,,,,,,0,missing,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
081350,Montmeló,41,Vallès Oriental,2025,58,89.73,246512.77,2704.25,69.2874,100,municipality,gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,69.2874,69.2874,100,,official,default,true
