municipality_code,municipality_name,comarca_code,comarca_name,reference_period,flood_t10_pct,flood_t100_pct,flood_t500_pct,preferred_flow_zone_pct,flood_risk_raw,flood_safety_score,high_fire_risk_area_pct,very_high_fire_risk_area_pct,fire_risk_raw,fire_safety_score,flood_red_flag,fire_red_flag,risk_review_required,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
083089,Viver i Serrateix,14,Berguedà,2024,,,,,,,29.743681,7.102172,43.948024,66.4177,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,29.888,84.888,45,,official,territorial_fire_7_8_high_9_10_very_high,false
089019,Rupit i Pruit,24,Osona,2024,,,,,,,10.192445,1.995723,14.183892,90.1449,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,40.5652,95.5652,45,,official,territorial_fire_7_8_high_9_10_very_high,false
089024,Vilanova del Vallès,41,Vallès Oriental,2024,,,,,,,31.768953,17.087846,65.944645,48.8825,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,21.9971,76.9971,45,,official,territorial_fire_7_8_high_9_10_very_high,false
089030,Sant Julià de Cerdanyola,14,Berguedà,2024,,,,,,,10.967742,3.502304,17.97235,87.1248,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,39.2062,94.2062,45,,official,territorial_fire_7_8_high_9_10_very_high,false
089045,Badia del Vallès,40,Vallès Occidental,2024,,,,,,,0,0,0,100,,false,false,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,45,100,45,,official,territorial_fire_7_8_high_9_10_very_high,false
089058,la Palma de Cervelló,11,Baix Llobregat,2024,,,,,,,38.24228,37.054632,112.351544,11.888,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,5.3496,60.3496,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170010,Agullana,02,Alt Empordà,2024,,,,,,,52.044944,23.191011,98.426966,22.9884,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,10.3448,65.3448,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170025,Aiguaviva,20,Gironès,2024,,,,,,,49.001815,17.059891,83.121597,35.1894,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,15.8352,70.8352,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170031,Albanyà,02,Alt Empordà,2024,,,,,,,5.8546,0.557581,6.969762,95.8958,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,43.1531,98.1531,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170046,Albons,10,Baix Empordà,2024,,,,,,,12.719298,17.54386,47.807018,63.3414,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,28.5036,83.5036,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170059,el Far d'Empordà,02,Alt Empordà,2024,,,,,,,1.176471,0,1.176471,100,,false,false,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,45,100,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170062,Alp,15,Cerdanya,2024,,,,,,,6.350757,0.73278,7.816317,95.221,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,42.8495,97.8495,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170078,Amer,34,Selva,2024,,,,,,,31.617219,8.31879,48.254799,62.9844,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,28.343,83.343,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170084,Anglès,34,Selva,2024,,,,,,,30.504404,4.723779,39.951962,69.6032,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,31.3214,86.3214,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170097,Arbúcies,34,Selva,2024,,,,,,,22.978619,10.407963,43.794544,66.54,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,29.943,84.943,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170101,Argelaguer,19,Garrotxa,2024,,,,,,,30.444204,9.64247,49.729144,61.8091,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,27.8141,82.8141,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170118,l'Armentera,02,Alt Empordà,2024,,,,,,,24.137931,10.344828,44.827586,65.7165,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,29.5724,84.5724,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170123,Avinyonet de Puigventós,02,Alt Empordà,2024,,,,,,,12.335958,7.611549,27.559055,79.4825,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,35.7671,90.7671,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170139,Begur,10,Baix Empordà,2024,,,,,,,29.018789,19.902575,68.823939,46.5872,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,20.9642,75.9642,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170144,la Vajol,02,Alt Empordà,2024,,,,,,,44.292237,16.666667,77.625571,39.5707,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,17.8068,72.8068,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170157,Banyoles,28,Pla de l'Estany,2024,,,,,,,19.186047,18.023256,55.232558,57.4219,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,25.8399,80.8399,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170160,Bàscara,02,Alt Empordà,2024,,,,,,,26.597938,52.371134,131.340206,0,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,0,55,45,,official,territorial_fire_7_8_high_9_10_very_high,false
170182,Bellcaire d'Empordà,10,Baix Empordà,2024,,,,,,,0,0,0,100,,false,false,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,45,100,45,,official,territorial_fire_7_8_high_9_10_very_high,false
