municipality_code,municipality_name,comarca_code,comarca_name,reference_period,resident_population,non_resident_present,resident_absent,population_etca,population_etca_pct,etca_pressure,hut_count,hut_per_1000,hotel_count,rural_count,camping_count,tourist_establishments_count,tourist_establishments_per_1000,ieet_available,ieet_total_eur,ieet_hut_eur,ieet_eur_per_resident,etca_score,hut_density_score,tourist_supply_score,ieet_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171404,el Port de la Selva,02,Alt Empordà,2024,1058,2124,-118,3065,289.7,2.896975,630,595.463138,10,0,3,643,607.750473,false,,,,100,100,100,,100,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,100,100,100,,official,default,true
171411,Puigcerdà,15,Cerdanya,2024,10041,3358,-1118,12281,122.3,1.223085,290,28.881585,14,16,1,321,31.968927,false,,,,53.463,29.5275,22.8124,,41.349,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,41.349,41.349,100,,official,default,true
171426,Quart,20,Gironès,2024,4099,166,-803,3462,84.5,0.844596,7,1.707734,0,5,0,12,2.927543,false,,,,0,1.7459,1.8791,,0.8123,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,0.8123,0.8123,100,,official,default,true
171432,Rabós,02,Alt Empordà,2024,,,,,,,19,80.508475,0,2,0,21,88.983051,false,,,,,82.309,63.9086,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171447,Regencós,10,Baix Empordà,2024,,,,,,,21,76.642336,3,1,0,25,91.240876,false,,,,,78.3564,65.5361,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171450,Ribes de Freser,31,Ripollès,2024,1846,596,-243,2199,119.1,1.191224,76,41.170098,12,7,1,96,52.004334,false,,,,48.7639,42.0908,37.254,,44.7936,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,44.7936,44.7936,100,,official,default,true
171463,Riells i Viabrea,34,Selva,2024,4497,359,-747,4109,91.4,0.91372,16,3.557928,2,0,0,18,4.002668,false,,,,7.8357,3.6375,2.654,,5.7498,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,5.7498,5.7498,100,,official,default,true
171479,Ripoll,31,Ripollès,2024,10773,1228,-981,11020,102.3,1.022928,36,3.341688,4,15,2,57,5.291005,false,,,,23.9424,3.4164,3.5827,,14.739,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,14.739,14.739,100,,official,default,true
171485,Riudarenes,34,Selva,2024,2444,607,-278,2773,113.5,1.134615,23,9.410802,4,6,1,34,13.91162,false,,,,40.4149,9.6213,9.7965,,26.5928,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,26.5928,26.5928,100,,official,default,true
171498,Riudaura,19,Garrotxa,2024,,,,,,,7,13.307985,0,5,0,12,22.813688,false,,,,,13.6056,16.2132,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
